Event_ID,Line,Station,TS,Part_No,Torque,Temp,Defect,VIN,Supplier,Work_Order,Tool_ID,Inspection_Source,Scrap_Reason,Energy_kWh,Pressure,Warranty_Claim,Plan_Production
EVT-00092,GA-2,STN-09,2025-03-01 17:32,303-PQR,47.7,85.8 C,None,7LP7DFJCP1VLZ2YGR,SUP-09,WO-2025027,T-109,CAMERA,S1,2.68 kWh,32.1 psi,No,112
EVT-00093,GA-3,STN-01,2025-02-01 09:41:59,123-ABC,63.9,94.2 C, None,XP8WN67KR54TWGS0X,SUP-05,WO-2025141,T-101,operator,,2.15,50.9 PSI,No,119
EVT-00094,  GA-3,STN-05  ,11-05-2025 17:43:55,202-mno,50.8 Nm,212.4F,None,5NUH8FHG8YX2VP0P6,SUP-02,WO 2025250,T-105,manual,,5.34 kWh,36.3 PSI,No,115
EVT-00095, GA-3 ,  STN-03,NOT_A_TIMESTAMP,101-JKL,51.6,98.3 C,Reject,XDCZ 13 L U3kG5DFz51,SUP-01, WO-ERR-0006 ,T-103, SENSOR ,S1,4.14,54.0 psi,No,115
EVT-00096,GA-2,STN-03,06/10/2025 06:44:06,789-ghi,54.2 Nm,82.3C,Reject,V5S yASUT2bn lKaT93,SUP-01,WO-2025218,T-103,Manual,S4,3.39 kWh,36.5 PSI,No,113
EVT-00097,  GA-2,  STN-02,2025-03-13 06:01:00,123ABC,59.2,199.9F,None,E D00 M UG2B4JTV4WZL,Sup-05,wo-2025154,T102,operator,S1,3.3,43.9 psi,No,112
EVT-00098,GA-2  ,STN-07,2025/01/17 09:47:31,303-PQR,49.2,96.2 C,None,56DESG  881UB9FZZ 9X,Sup-09, WO-2025139 ,T-107,Camera,,2.65,64.8,No,108
EVT-00099,  GA-3,STN-07,09-08-2025 06:32:34,123-ABC,42.9,173.7F,None,Z9M0E9XZ5XCA14DA0,sup-09,WO 2025167,T107,camera,S2,3.51 kWh,32.1,No,120
EVT-00100,GA-2, STN-09 ,02-08-2025 12:44:36,101-jkl,49.0,203.5F,None,LF5 5UTNJ62TSTZ2EZ,sup-02,WO-2025147,T-109, SENSOR ,,1.81,42.8 psi,No,115
EVT-00101,  GA-1,  STN-03,2025/08/13 10:57:02,123ABC,53.9,95.0C, None,AA HW X958ykKs6y5 LD,Sup-11,WO 2025118,T-103,Manual,,4.36,45.9 PSI,No,119
EVT-00102,  GA-3,  STN-01,10-12-2025 15:57:19,123-abc,48.2 Nm,95.6 C, None,1 3L4J0XZJ Y7BT SBAJ,SUP-01, WO-2025090 , T-101 ,operator,,3.04,47.9 PSI,No,112
EVT-00103,GA-1,STN-07,2025-06-07 19:53,101-JKL,25.6,90.3 C,None,VG8BB4DXVPCKWLYUH,Sup-05,WO-2025247,T-107,probe,,2.63 kWh,42.7 psi,No,115
EVT-00104,GA-3,STN-03,08-22-2025 09:32:00,202-MNO,49.7,79.6C,Repair,FMRM5GGBP16FGSYJP,SUP-09,WO-2025036,T-103, MANUAL ,,3.32,47.3,No,118
EVT-00105,GA-1,STN-05,12-06-2025 07:23:56,303-PQR,55.9 Nm,90.5 C,None,YYC9XJFNTFDUN93FU,SUP-11,WO-2025238,T-105,CAMERA,S2,4.38 kWh,49.9,No,122
EVT-00106,GA-1  , STN-09 ,08-05-2025 10:55:28,789-GHI,49.7 Nm,88.7C,na,Y N9VYejNJD5ULPC8d,sup-02,WO-2025061,T-109,sensor,,2.55,43.8 PSI,No,123
EVT-00107, GA-2 , STN-02 ,2025-11-09 05:22:50,456-DEF,59.0,79.6 C,na,B28B9SCL4N5V8HN2B,SUP-09,WO 2025152,T-102, SENSOR ,S3,2.46,40.9,No,106
EVT-00108, GA-2 ,  STN-01,2025/06/23 07:01:40,456DEF,54.4 Nm,113.7 C,None,9Mm211LD a8 1ZR6E9K,SUP-05,WO-2025158,T-101,Manual,S3,2.72 kWh,44.6,Y,111
EVT-00109,GA-3  ,STN-09,12-02-2025 12:51:13,123ABC,46.7,84.6C,na,bwKl084fDsPZF2J YJ,Sup-11,WO 2025277,T-109,Sensor,S2,1.83 kWh,49.3 psi,No,110
EVT-00110,GA-2  ,  STN-01,2025-10-09 10:35:07,202-mno,61.9,85.7 C,na,FCW32NDCU2VZU0DED,sup-02,WO 2025197,T-101,probe,,2.94 kWh,23.6 psi,No,109
EVT-00111,  GA-1, STN-07 ,2025-08-12 17:16,456-def,52.5,187.5F,None,pY4L yTJ00A0E n 5PSy,SUP-11,WO-2025204,T-107,manual,S2,3.4 kWh,47.1,No,119
EVT-00112,  GA-2,STN-03,2025-05-10 19:99,303-PQR,58.0,214.3F,None,616N9 TT7U30C W4VLC,sup-09,WO-2025006,T-103,Manual,,3.1 kWh,37.0,No,106
EVT-00113,GA-2,  STN-05,10-21-2025 13:64:14,123-ABC,70.9,101.4 C, None,FLLDMGLXY5WD UUMF2,SUP-01,WO-2025295,t-105,Camera,,4.34,50.6 PSI,No,114
EVT-00114,GA-1  ,  STN-05,04-04-2025 06:08:39,303-PQR,51.3,101.0 C,None,795W3KSA7Y0WZ8 4P6,SUP-01,WO-2025266,T-105,operator,S3,5.5 kWh,44.3 psi,No,116
EVT-00115,GA-2,STN-09,2025-01-08 19:43,789-GHI,49.0 Nm,202.8F,Reject,5RDTYDPVACWXLTGZ8,SUP-01,WO-2025015,T109, SENSOR ,S1,1.92,37.5 psi,No,109
EVT-00116,  GA-1,STN-02,2025-05-11 05:45,123-ABC,41.8,192.2F,None,C1 PADT KV0FKG8XYRU,Sup-05,wo-2025106,T-102, MANUAL ,,3.29,37.7,No,121
EVT-00117, GA-3 , STN-09 ,2025-02-01 10:00,123-ABC,59.6,79.0C,None,XP8WN67KR54TWGS0X,SUP-05,WO 2025141,t-109, SENSOR ,,2.45,49.6 psi,No,111
EVT-00118,GA-2  ,  STN-07,22/12/2025 17:23:06,303-PQR,63.3 Nm,194.4F,None,PM W3YCDZK0Y65MWE M,SUP-09,WO-2025005,T-107, MANUAL ,,3.57,48.2 PSI,No,110
EVT-00119,GA-1,STN-09,2025-08-20 16:56:09,202-MNO,45.6,90.5C,None,LL0CCYXH3VGBN3Y33,SUP-02,WO-2025252,T-109, SENSOR ,S1,1.97 kWh,18.7 psi,No,118
EVT-00120, GA-1 ,  STN-05,2025-02-07 20:46:01,101-JKL,54.2,83.8C, na,9W HP4DF4K  Y1G9DSAZ,sup-02,WO-2025298,T-105, MANUAL ,S3,4.98,36.3,No,115
EVT-00121,GA-1,STN-02,2025-02-10 13:49,789 GHI,43.1,102.0C,None,4s FvS984J AVKE2324,sup-11,WO-2025210,T-102, SENSOR ,S4,2.38 kWh,37.3 psi,No,115
EVT-00122,GA-2,STN-01,2025-02-14 17:03:39,456-DEF,53.8,82.4 C,None,MZ46LEFTAWEM04LK5,sup-09,WO-2025228,T-101, SENSOR ,S1,3.32 kWh,34.6 PSI,N,108
EVT-00123, GA-2 ,  STN-07,2025-05-10 19:46,303 PQR,78.2,178.5F,None,616N9 TT7U30CW 4VLC,SUP-09,WO 2025006,T107,Manual,,2.48 kWh,41.2 psi,No,114
EVT-00124,GA-2,STN-02,2025-05-10 13:05:22,123-ABC,53.4 Nm,81.5 C,None,T5RZZ05ZMHU73733B,sup-11,WO-2025067,T-102,Sensor,,2.53,52.3 PSI,No,115
EVT-00125,  GA-2, STN-09 ,05/01/2025 09:39:28,123 ABC,47.1,97.6 C,na,6WFU WZezK3Md  7Y730,SUP-01,WO-2025037,T-109, vision ,S3,2.05,40.9 PSI,No,112
EVT-00126,GA-3,STN-09,12-08-2025 17:43:45,456-DEF,46.4,183.9F,None,DJYFXVYY8L3DDH1VZ,SUP-01,WO-2025010,T-109,operator,,3.19,34.9 psi,No,113
EVT-00127,GA-2  ,STN-05,07-02-2025 13:53:48,303-PQR,61.1,88.4 C,Repair,BUJR KB4P RDBRFMM6G,SUP-05,WO-2025174,T-105,CAMERA,S2,5.61,36.0 PSI,No,108
