Supplier_Code,Supplier_Name,Country,Part_No,Part_Description,VIN,Work_Order,Warranty_Claim,Defect,Scrap_Reason
SUP-05,Prime Casting Solutions,Japan,456-DEF,Rear Suspension Module,T2VS0FB8Y7JMTE3V7,WO-2025108,No,Repair,Torque Failure
SUP-02,Precision Motion Works,Germany,456-DEF,Rear Suspension Module,8YLWKXKNRPVMV5ZGP,WO-2025273,No,None,Sensor Fault
SUP-05,Prime Casting Solutions,Japan,789-GHI,Steering Rack,B8457BFZX373WJVAC,WO-2025115,Yes,Reject,Sensor Fault
SUP-11,Vector Drive Components,USA,456-DEF,Rear Suspension Module,JCEJMN9LPJSXHTS34,WO-2025276,No,None,
SUP-02,Precision Motion Works,Germany,202-MNO,Brake Cylinder,5NUH8FHG8YX2VP0P6,WO-2025250,No,None,Torque Failure
SUP-09,Nova Sensor Systems,South Korea,202-MNO,Brake Cylinder,Y9X2SYUS97KYH6SYC,WO-2025136,No,None,Sensor Fault
SUP-02,Precision Motion Works,Germany,123-ABC,Front Axle Assembly,S9DPVEMFL7CAPXYRK,WO-2025199,No,None,
SUP-11,Vector Drive Components,USA,202-MNO,Brake Cylinder,YAPTRM6SFFUYX72S4,WO-2025002,No,None,
SUP-02,Precision Motion Works,Germany,101-JKL,Battery Cooling Harness,718VLZDTT6B18WZDX,WO-2025074,No,Repair,Assembly Error
SUP-02,Precision Motion Works,Germany,789-GHI,Steering Rack,BY0GK7U5BFYPFX8YE,WO-2025120,No,None,Torque Failure
SUP-09,Nova Sensor Systems,South Korea,101-JKL,Battery Cooling Harness,6HB3TUW4CHFUM574H,WO-2025242,No,None,Material Defect
SUP-01,Atlas Fasteners,India,789-GHI,Steering Rack,T0PSK64MFJ78JR4GU,WO-2025071,No,None,
SUP-05,Prime Casting Solutions,Japan,456-DEF,Rear Suspension Module,A1RY99DBK4ERBP127,WO-2025082,No,None,
SUP-02,Precision Motion Works,Germany,101-JKL,Battery Cooling Harness,F4F86C2FT5ZE45VD3,WO-2025151,No,None,Sensor Fault
SUP-01,Atlas Fasteners,India,303-PQR,Door Lock Module,S4FHVRSKRMN8YC619,WO-2025093,No,None,
SUP-02,Precision Motion Works,Germany,101-JKL,Battery Cooling Harness,LF55UTNJ62TSTZ2EZ,WO-2025147,No,None,Material Defect
SUP-05,Prime Casting Solutions,Japan,202-MNO,Brake Cylinder,0M4HY5ZCTHZSNTM32,WO-2025040,No,None,Assembly Error
SUP-02,Precision Motion Works,Germany,202-MNO,Brake Cylinder,VL07XKKMZ6VG6GJ99,WO-2025186,No,None,
SUP-02,Precision Motion Works,Germany,202-MNO,Brake Cylinder,YRKXRG5K3Z77079WX,WO-2025022,No,Reject,Assembly Error
SUP-05,Prime Casting Solutions,Japan,456-DEF,Rear Suspension Module,6TX1ZK83GUFCGZB7U,WO-2025175,No,None,Torque Failure
SUP-11,Vector Drive Components,USA,123-ABC,Front Axle Assembly,NFRPHPABDD5TB8MGB,WO-2025190,Yes,Repair,Sensor Fault
SUP-09,Nova Sensor Systems,South Korea,123-ABC,Front Axle Assembly,GL197F0SLFS9A0GDS,WO-2025045,No,None,Assembly Error
SUP-01,Atlas Fasteners,India,303-PQR,Door Lock Module,795W3KSA7Y0WZ84P6,WO-2025266,No,Repair,Material Defect
SUP-01,Atlas Fasteners,India,303-PQR,Door Lock Module,9LXEYVFMTJBX9ZWMY,WO-2025299,No,None,Material Defect
SUP-05,Prime Casting Solutions,Japan,202-MNO,Brake Cylinder,MZXF5SDZLX4STXG4P,WO-2025129,No,None,Sensor Fault
SUP-11,Vector Drive Components,USA,303-PQR,Door Lock Module,PH9TDBDX3PCN9U95A,WO-2025000,No,None,Material Defect
SUP-05,Prime Casting Solutions,Japan,202-MNO,Brake Cylinder,ARGH43P4G1HDDPBB5,WO-2025234,No,None,Material Defect
SUP-01,Atlas Fasteners,India,456-DEF,Rear Suspension Module,L16AJT6EU4CB03DLE,WO-2025263,No,None,
SUP-05,Prime Casting Solutions,Japan,789-GHI,Steering Rack,8L5KBUT6GTC3GLD3U,WO-2025279,No,None,Torque Failure
SUP-05,Prime Casting Solutions,Japan,202-MNO,Brake Cylinder,6XFUM17ZMBNBPT8AA,WO-2025073,No,Repair,
SUP-09,Nova Sensor Systems,South Korea,123-ABC,Front Axle Assembly,C2ZHY79RBSUF7C3SS,WO-2025080,No,None,Sensor Fault
SUP-11,Vector Drive Components,USA,123-ABC,Front Axle Assembly,LVSAAJ84SY6PTZJDK,WO-2025025,No,None,Material Defect
SUP-02,Precision Motion Works,Germany,101-JKL,Battery Cooling Harness,718VLZDTT6B18WZDX,WO-2025074,No,None,Material Defect
SUP-01,Atlas Fasteners,India,202-MNO,Brake Cylinder,8EEFDZ51WCAJG101D,WO-2025255,No,None,
SUP-02,Precision Motion Works,Germany,101-JKL,Battery Cooling Harness,TB7Y6UXU89CUGK8RD,WO-2025132,No,Repair,Torque Failure
SUP-11,Vector Drive Components,USA,303-PQR,Door Lock Module,6TUNX8EY6XASRW3YN,WO-2025125,No,None,
SUP-01,Atlas Fasteners,India,123-ABC,Front Axle Assembly,13L4J0XZJY7BTSBAJ,WO-2025090,No,None,
SUP-01,Atlas Fasteners,India,456-DEF,Rear Suspension Module,T0VXSEER5NZ1LH8AT,WO-2025205,No,None,
SUP-02,Precision Motion Works,Germany,789-GHI,Steering Rack,YN9VYEJNJD5ULPC8D,WO-2025061,No,None,Assembly Error
SUP-05,Prime Casting Solutions,Japan,202-MNO,Brake Cylinder,EZP4GZB2GVWJ3ZAXH,WO-2025290,No,None,Torque Failure
SUP-01,Atlas Fasteners,India,789-GHI,Steering Rack,3F08C3870E1A79NMZ,WO-2025150,No,None,Assembly Error
SUP-11,Vector Drive Components,USA,202-MNO,Brake Cylinder,K94THXG1YFJM4RZP4,WO-2025148,No,None,Sensor Fault
SUP-02,Precision Motion Works,Germany,456-DEF,Rear Suspension Module,GVG81JX0GPWS2WNR6,WO-2025235,No,Reject,Sensor Fault
SUP-05,Prime Casting Solutions,Japan,101-JKL,Battery Cooling Harness,2ZFT0F73344NLY4FS,WO-2025116,No,None,Assembly Error
SUP-05,Prime Casting Solutions,Japan,789-GHI,Steering Rack,UF1RU6VTPVXEHAJHJ,WO-2025123,No,Repair,Assembly Error
SUP-02,Precision Motion Works,Germany,101-JKL,Battery Cooling Harness,718VLZDTT6B18WZDX,WO-2025074,No,None,
SUP-02,Precision Motion Works,Germany,789-GHI,Steering Rack,TE0TDZYZVS5TNT9XM,WO-2025026,No,None,Sensor Fault
SUP-05,Prime Casting Solutions,Japan,123-ABC,Front Axle Assembly,Y8S4MV61CU9SB63K7,WO-2025124,No,None,Material Defect
SUP-01,Atlas Fasteners,India,789-GHI,Steering Rack,T0PSK64MFJ78JR4GU,WO-2025071,No,None,Material Defect
SUP-05,Prime Casting Solutions,Japan,101-JKL,Battery Cooling Harness,ZDNGRP56BZJP7C6RW,WO-2025226,No,None,
SUP-11,Vector Drive Components,USA,123-ABC,Front Axle Assembly,5FBT5XWU4F3E3GZCP,WO-2025056,No,None,
SUP-05,Prime Casting Solutions,Japan,789-GHI,Steering Rack,8D3PDKXDGTDPUP6PS,WO-2025104,No,None,Material Defect
SUP-02,Precision Motion Works,Germany,101-JKL,Battery Cooling Harness,VRWK8T6DDKDENU3DT,WO-2025262,No,None,Material Defect
SUP-05,Prime Casting Solutions,Japan,456-DEF,Rear Suspension Module,6TX1ZK83GUFCGZB7U,WO-2025175,Yes,Reject,Torque Failure
SUP-02,Precision Motion Works,Germany,123-ABC,Front Axle Assembly,M2THBCC2ZG1PCNS9A,WO-2025287,No,None,
SUP-01,Atlas Fasteners,India,456-DEF,Rear Suspension Module,L16AJT6EU4CB03DLE,WO-2025263,No,None,Torque Failure
SUP-09,Nova Sensor Systems,South Korea,456-DEF,Rear Suspension Module,RAJD61WS2S6ZHABF1,WO-2025278,No,None,Torque Failure
SUP-01,Atlas Fasteners,India,303-PQR,Door Lock Module,PUVY6J2ZFTLSZP891,WO-2025193,No,None,
SUP-09,Nova Sensor Systems,South Korea,202-MNO,Brake Cylinder,BLPG0NR4H6S8TP5XH,WO-2025057,No,None,
SUP-05,Prime Casting Solutions,Japan,789-GHI,Steering Rack,T2DYKNYW6Z6J0UTGY,WO-2025102,No,None,
SUP-05,Prime Casting Solutions,Japan,303-PQR,Door Lock Module,BUJRKB4PRDBRFMM6G,WO-2025174,No,None,Material Defect
SUP-05,Prime Casting Solutions,Japan,789-GHI,Steering Rack,E2ZBM0RTCURN8Z954,WO-2025089,No,None,
SUP-02,Precision Motion Works,Germany,303-PQR,Door Lock Module,BPBY3Y13BN1J97DTS,WO-2025194,No,None,
SUP-01,Atlas Fasteners,India,101-JKL,Battery Cooling Harness,TVSD86DWDWZMUGTHV,WO-2025207,No,None,
SUP-09,Nova Sensor Systems,South Korea,303-PQR,Door Lock Module,7LP7DFJCP1VLZ2YGR,WO-2025027,No,None,
SUP-02,Precision Motion Works,Germany,789-GHI,Steering Rack,TE0TDZYZVS5TNT9XM,WO-2025026,No,None,
SUP-02,Precision Motion Works,Germany,789-GHI,Steering Rack,BY0GK7U5BFYPFX8YE,WO-2025120,No,None,
SUP-02,Precision Motion Works,Germany,202-MNO,Brake Cylinder,TEY9BPBCC12T89D85,WO-2025063,No,None,
SUP-09,Nova Sensor Systems,South Korea,303-PQR,Door Lock Module,7LP7DFJCP1VLZ2YGR,WO-2025027,No,None,Material Defect
SUP-05,Prime Casting Solutions,Japan,123-ABC,Front Axle Assembly,XP8WN67KR54TWGS0X,WO-2025141,No,None,
SUP-02,Precision Motion Works,Germany,202-MNO,Brake Cylinder,5NUH8FHG8YX2VP0P6,WO-2025250,No,None,
SUP-01,Atlas Fasteners,India,789-GHI,Steering Rack,V5SYASUT2BNLKAT93,WO-2025218,No,Reject,Sensor Fault
SUP-05,Prime Casting Solutions,Japan,123-ABC,Front Axle Assembly,ED00MUG2B4JTV4WZL,WO-2025154,No,None,Material Defect
SUP-09,Nova Sensor Systems,South Korea,303-PQR,Door Lock Module,56DESG881UB9FZZ9X,WO-2025139,No,None,
SUP-09,Nova Sensor Systems,South Korea,123-ABC,Front Axle Assembly,Z9M0E9XZ5XCA14DA0,WO-2025167,No,None,Torque Failure
SUP-02,Precision Motion Works,Germany,101-JKL,Battery Cooling Harness,LF55UTNJ62TSTZ2EZ,WO-2025147,No,None,
SUP-11,Vector Drive Components,USA,123-ABC,Front Axle Assembly,AAHWX958YKKS6Y5LD,WO-2025118,No,None,
SUP-05,Prime Casting Solutions,Japan,101-JKL,Battery Cooling Harness,VG8BB4DXVPCKWLYUH,WO-2025247,No,None,
SUP-09,Nova Sensor Systems,South Korea,202-MNO,Brake Cylinder,FMRM5GGBP16FGSYJP,WO-2025036,No,Repair,
SUP-11,Vector Drive Components,USA,303-PQR,Door Lock Module,YYC9XJFNTFDUN93FU,WO-2025238,No,None,Torque Failure
SUP-02,Precision Motion Works,Germany,789-GHI,Steering Rack,YN9VYEJNJD5ULPC8D,WO-2025061,No,None,
SUP-09,Nova Sensor Systems,South Korea,456-DEF,Rear Suspension Module,B28B9SCL4N5V8HN2B,WO-2025152,No,None,Assembly Error
SUP-05,Prime Casting Solutions,Japan,456-DEF,Rear Suspension Module,9MM211LDA81ZR6E9K,WO-2025158,Yes,None,Assembly Error
SUP-11,Vector Drive Components,USA,123-ABC,Front Axle Assembly,BWKL084FDSPZF2JYJ,WO-2025277,No,None,Torque Failure
SUP-02,Precision Motion Works,Germany,202-MNO,Brake Cylinder,FCW32NDCU2VZU0DED,WO-2025197,No,None,
SUP-11,Vector Drive Components,USA,456-DEF,Rear Suspension Module,PY4LYTJ00A0EN5PSY,WO-2025204,No,None,Torque Failure
SUP-09,Nova Sensor Systems,South Korea,303-PQR,Door Lock Module,616N9TT7U30CW4VLC,WO-2025006,No,None,
SUP-01,Atlas Fasteners,India,123-ABC,Front Axle Assembly,FLLDMGLXY5WDUUMF2,WO-2025295,No,None,
SUP-01,Atlas Fasteners,India,303-PQR,Door Lock Module,795W3KSA7Y0WZ84P6,WO-2025266,No,None,Assembly Error
SUP-01,Atlas Fasteners,India,789-GHI,Steering Rack,5RDTYDPVACWXLTGZ8,WO-2025015,No,Reject,Material Defect
SUP-05,Prime Casting Solutions,Japan,123-ABC,Front Axle Assembly,C1PADTKV0FKG8XYRU,WO-2025106,No,None,
SUP-09,Nova Sensor Systems,South Korea,303-PQR,Door Lock Module,PMW3YCDZK0Y65MWEM,WO-2025005,No,None,
SUP-02,Precision Motion Works,Germany,202-MNO,Brake Cylinder,LL0CCYXH3VGBN3Y33,WO-2025252,No,None,Material Defect
SUP-02,Precision Motion Works,Germany,101-JKL,Battery Cooling Harness,9WHP4DF4KY1G9DSAZ,WO-2025298,No,None,Assembly Error
SUP-11,Vector Drive Components,USA,789-GHI,Steering Rack,4SFVS984JAVKE2324,WO-2025210,No,None,Sensor Fault
SUP-09,Nova Sensor Systems,South Korea,456-DEF,Rear Suspension Module,MZ46LEFTAWEM04LK5,WO-2025228,No,None,Material Defect
SUP-11,Vector Drive Components,USA,123-ABC,Front Axle Assembly,T5RZZ05ZMHU73733B,WO-2025067,No,None,
SUP-01,Atlas Fasteners,India,123-ABC,Front Axle Assembly,6WFUWZEZK3MD7Y730,WO-2025037,No,None,Assembly Error
SUP-01,Atlas Fasteners,India,456-DEF,Rear Suspension Module,DJYFXVYY8L3DDH1VZ,WO-2025010,No,None,
SUP-05,Prime Casting Solutions,Japan,303-PQR,Door Lock Module,BUJRKB4PRDBRFMM6G,WO-2025174,No,Repair,Torque Failure
SUP-11,Vector Drive Components,USA,101-JKL,Battery Cooling Harness,6BRXZP653DZJYM8PF,WO-2025169,No,None,
SUP-05,Prime Casting Solutions,Japan,101-JKL,Battery Cooling Harness,U3TWZ65RJ3XJJ807C,WO-2025157,No,None,Assembly Error
SUP-01,Atlas Fasteners,India,789-GHI,Steering Rack,3VYTUL7FFFR2GX3KV,WO-2025249,No,None,
SUP-01,Atlas Fasteners,India,456-DEF,Rear Suspension Module,34F60GMMF5PTEFMJJ,WO-2025208,No,Reject,Assembly Error
SUP-11,Vector Drive Components,USA,789-GHI,Steering Rack,NNMRFG1R25FY580NU,WO-2025172,No,None,Sensor Fault
SUP-11,Vector Drive Components,USA,101-JKL,Battery Cooling Harness,57W67GTEXMTS5F866,WO-2025256,No,None,
SUP-01,Atlas Fasteners,India,456-DEF,Rear Suspension Module,P1JPCE47TT8J9VA25,WO-2025143,No,None,Torque Failure
SUP-02,Precision Motion Works,Germany,202-MNO,Brake Cylinder,VL07XKKMZ6VG6GJ99,WO-2025186,No,None,Material Defect
SUP-09,Nova Sensor Systems,South Korea,202-MNO,Brake Cylinder,P8SRM39SDJ6FD01EG,WO-2025257,No,None,Sensor Fault
SUP-09,Nova Sensor Systems,South Korea,456-DEF,Rear Suspension Module,B28B9SCL4N5V8HN2B,WO-2025152,No,None,
SUP-05,Prime Casting Solutions,Japan,303-PQR,Door Lock Module,8SJ0K4C9YBPNSY0C4,WO-2025009,No,None,
SUP-05,Prime Casting Solutions,Japan,202-MNO,Brake Cylinder,0M4HY5ZCTHZSNTM32,WO-2025040,No,None,
SUP-02,Precision Motion Works,Germany,789-GHI,Steering Rack,TE0TDZYZVS5TNT9XM,WO-2025026,No,None,Material Defect
SUP-11,Vector Drive Components,USA,101-JKL,Battery Cooling Harness,KXEF3MXV5CFHLKJYJ,WO-2025018,No,None,
SUP-11,Vector Drive Components,USA,303-PQR,Door Lock Module,VMJK509TWKMCY50PG,WO-2025096,No,None,
SUP-09,Nova Sensor Systems,South Korea,123-ABC,Front Axle Assembly,7DHMFPLNSC3YNCHKW,WO-2025033,No,Reject,Material Defect
SUP-05,Prime Casting Solutions,Japan,789-GHI,Steering Rack,J54ZYH0KJEX6PT7YN,WO-2025068,No,None,Material Defect
SUP-01,Atlas Fasteners,India,202-MNO,Brake Cylinder,4Z8M7YXZ0S4CV37TC,WO-2025260,No,None,
SUP-01,Atlas Fasteners,India,303-PQR,Door Lock Module,1VKBG4FK229FRJ0H9,WO-2025184,No,None,Assembly Error
SUP-05,Prime Casting Solutions,Japan,456-DEF,Rear Suspension Module,1LFSP0TYDR46AFZGG,WO-2025159,No,None,Torque Failure
SUP-02,Precision Motion Works,Germany,101-JKL,Battery Cooling Harness,WP6E0N8Z4YBBM0J33,WO-2025069,No,None,
SUP-02,Precision Motion Works,Germany,202-MNO,Brake Cylinder,TEY9BPBCC12T89D85,WO-2025063,No,None,Assembly Error
SUP-05,Prime Casting Solutions,Japan,123-ABC,Front Axle Assembly,84305FE1F56V2UL03,WO-2025162,No,None,Material Defect
SUP-09,Nova Sensor Systems,South Korea,202-MNO,Brake Cylinder,FMRM5GGBP16FGSYJP,WO-2025036,No,None,
SUP-09,Nova Sensor Systems,South Korea,101-JKL,Battery Cooling Harness,0ZF3EX5JH5WEANT5U,WO-2025048,No,None,
SUP-09,Nova Sensor Systems,South Korea,789-GHI,Steering Rack,0UJ89WW2FFPES2SVC,WO-2025100,Yes,None,Torque Failure
SUP-09,Nova Sensor Systems,South Korea,789-GHI,Steering Rack,K5E0T96KX1PN524KT,WO-2025066,No,None,Torque Failure
SUP-11,Vector Drive Components,USA,303-PQR,Door Lock Module,VMJK509TWKMCY50PG,WO-2025096,No,None,Sensor Fault
SUP-11,Vector Drive Components,USA,303-PQR,Door Lock Module,UXY5ZDH3X57GDHKXR,WO-2025196,No,None,Torque Failure
SUP-02,Precision Motion Works,Germany,123-ABC,Front Axle Assembly,PGJV68PETR180TBAE,WO-2025254,No,None,
SUP-05,Prime Casting Solutions,Japan,789-GHI,Steering Rack,D76U0N9CDE4CVR8HJ,WO-2025012,No,None,
SUP-05,Prime Casting Solutions,Japan,456-DEF,Rear Suspension Module,5PGJM11HALT1JAW9N,WO-2025285,No,None,
SUP-02,Precision Motion Works,Germany,456-DEF,Rear Suspension Module,5UC52UJ92HEWZS0VL,WO-2025187,No,None,Assembly Error
SUP-02,Precision Motion Works,Germany,123-ABC,Front Axle Assembly,PGJV68PETR180TBAE,WO-2025254,No,None,Material Defect
SUP-09,Nova Sensor Systems,South Korea,123-ABC,Front Axle Assembly,VDUMJ53UHTM96FF31,WO-2025170,No,None,Torque Failure
SUP-05,Prime Casting Solutions,Japan,101-JKL,Battery Cooling Harness,Z0JSPVS0WHTYVJW35,WO-2025165,No,None,
SUP-02,Precision Motion Works,Germany,303-PQR,Door Lock Module,JNUHLZNF2TUFEJGPV,WO-2025237,No,None,
SUP-09,Nova Sensor Systems,South Korea,123-ABC,Front Axle Assembly,Z9M0E9XZ5XCA14DA0,WO-2025167,No,None,Material Defect
SUP-09,Nova Sensor Systems,South Korea,101-JKL,Battery Cooling Harness,M80UA67VFKNSDX7SB,WO-2025166,No,None,Sensor Fault
SUP-05,Prime Casting Solutions,Japan,123-ABC,Front Axle Assembly,84305FE1F56V2UL03,WO-2025162,No,None,
SUP-01,Atlas Fasteners,India,202-MNO,Brake Cylinder,U20NH2MKTLP87VSGD,WO-2025220,No,None,
SUP-02,Precision Motion Works,Germany,456-DEF,Rear Suspension Module,MZTW772K62FR0SX2G,WO-2025201,No,None,Sensor Fault
SUP-09,Nova Sensor Systems,South Korea,202-MNO,Brake Cylinder,P8SRM39SDJ6FD01EG,WO-2025257,No,None,Material Defect
SUP-09,Nova Sensor Systems,South Korea,303-PQR,Door Lock Module,B6X0LPPGWWE3V2F6T,WO-2025112,No,None,Assembly Error
SUP-09,Nova Sensor Systems,South Korea,303-PQR,Door Lock Module,A1CW7MZZCJ4R1ST2L,WO-2025054,No,None,Material Defect
SUP-01,Atlas Fasteners,India,123-ABC,Front Axle Assembly,HLKL8WJ62VZJAWF71,WO-2025178,No,None,
SUP-01,Atlas Fasteners,India,202-MNO,Brake Cylinder,4Z8M7YXZ0S4CV37TC,WO-2025260,No,None,Assembly Error
SUP-09,Nova Sensor Systems,South Korea,789-GHI,Steering Rack,K5E0T96KX1PN524KT,WO-2025066,Yes,Reject,Torque Failure
SUP-11,Vector Drive Components,USA,123-ABC,Front Axle Assembly,T5RZZ05ZMHU73733B,WO-2025067,No,None,Torque Failure
SUP-09,Nova Sensor Systems,South Korea,456-DEF,Rear Suspension Module,09LFER95K4AXLAT1X,WO-2025083,No,None,Material Defect
SUP-01,Atlas Fasteners,India,303-PQR,Door Lock Module,S4FHVRSKRMN8YC619,WO-2025093,No,None,Material Defect
SUP-09,Nova Sensor Systems,South Korea,303-PQR,Door Lock Module,KA2DLVBLLE4A3F77T,WO-2025078,No,None,Torque Failure
SUP-11,Vector Drive Components,USA,202-MNO,Brake Cylinder,CJE8T3BB9S4Y1W4DY,WO-2025052,No,None,Material Defect
SUP-09,Nova Sensor Systems,South Korea,202-MNO,Brake Cylinder,XZDVKRVXZVJPCEW7H,WO-2025171,No,None,Assembly Error
SUP-09,Nova Sensor Systems,South Korea,123-ABC,Front Axle Assembly,DS5YZFC4KL8CFN1V6,WO-2025013,No,None,
SUP-11,Vector Drive Components,USA,303-PQR,Door Lock Module,V0A2G6AP8VBK6U3RN,WO-2025098,No,None,Assembly Error
SUP-02,Precision Motion Works,Germany,303-PQR,Door Lock Module,ZMV5917HF3FPF72PZ,WO-2025001,No,None,Material Defect
SUP-11,Vector Drive Components,USA,123-ABC,Front Axle Assembly,NFRPHPABDD5TB8MGB,WO-2025190,No,None,
SUP-11,Vector Drive Components,USA,123-ABC,Front Axle Assembly,FMD23VF30J496ETJ8,WO-2025195,No,None,Torque Failure
SUP-05,Prime Casting Solutions,Japan,123-ABC,Front Axle Assembly,AYNM1ALSEDU2WSVV2,WO-2025060,No,None,
SUP-02,Precision Motion Works,Germany,123-ABC,Front Axle Assembly,BT4E30CERPXC2SZ9M,WO-2025062,No,None,Torque Failure
SUP-05,Prime Casting Solutions,Japan,202-MNO,Brake Cylinder,2NEYFHMZCN5N2URDJ,WO-2025065,No,None,Sensor Fault
SUP-11,Vector Drive Components,USA,789-GHI,Steering Rack,BNY0V2EMUY115012L,WO-2025024,No,None,Assembly Error
SUP-01,Atlas Fasteners,India,456-DEF,Rear Suspension Module,T0VXSEER5NZ1LH8AT,WO-2025205,No,Reject,Assembly Error
SUP-02,Precision Motion Works,Germany,123-ABC,Front Axle Assembly,BT4E30CERPXC2SZ9M,WO-2025062,No,None,
SUP-05,Prime Casting Solutions,Japan,456-DEF,Rear Suspension Module,5FUM7TBTYCZ643M34,WO-2025138,No,None,
SUP-11,Vector Drive Components,USA,202-MNO,Brake Cylinder,6ARZY5L4PEUTUB0B7,WO-2025031,No,None,
SUP-05,Prime Casting Solutions,Japan,456-DEF,Rear Suspension Module,1LFSP0TYDR46AFZGG,WO-2025159,No,Repair,
SUP-02,Precision Motion Works,Germany,303-PQR,Door Lock Module,9N8479S2233D92CPP,WO-2025177,No,None,
SUP-05,Prime Casting Solutions,Japan,456-DEF,Rear Suspension Module,5FUM7TBTYCZ643M34,WO-2025138,No,None,Assembly Error
SUP-01,Atlas Fasteners,India,789-GHI,Steering Rack,CD6T1R7PC1SRDYYTZ,WO-2025107,No,None,Assembly Error
SUP-11,Vector Drive Components,USA,202-MNO,Brake Cylinder,P9RJR1YTM9GM52SD5,WO-2025050,No,None,
SUP-02,Precision Motion Works,Germany,303-PQR,Door Lock Module,SR1WBR6772L6T5V10,WO-2025146,No,Repair,
SUP-05,Prime Casting Solutions,Japan,202-MNO,Brake Cylinder,67PNMMMF229AZKR3J,WO-2025253,No,None,Assembly Error
SUP-09,Nova Sensor Systems,South Korea,456-DEF,Rear Suspension Module,6XM2YTR5JDXA787VA,WO-2025095,No,None,
SUP-02,Precision Motion Works,Germany,789-GHI,Steering Rack,3CRZU9F2PL5X0D4NK,WO-2025122,No,None,Torque Failure
SUP-01,Atlas Fasteners,India,202-MNO,Brake Cylinder,P8CTJAUKSLE03E8SK,WO-2025291,No,None,
SUP-05,Prime Casting Solutions,Japan,101-JKL,Battery Cooling Harness,XW6FLWZXARKE5AJS2,WO-2025079,No,None,
SUP-02,Precision Motion Works,Germany,123-ABC,Front Axle Assembly,N74RF4JP3YM43P8JP,WO-2025092,No,Repair,Assembly Error
SUP-09,Nova Sensor Systems,South Korea,123-ABC,Front Axle Assembly,HCDBRV4D4NHW23DK0,WO-2025183,No,None,Material Defect
SUP-02,Precision Motion Works,Germany,202-MNO,Brake Cylinder,GYV8VV12WZ0RD3VTY,WO-2025019,Yes,None,
SUP-02,Precision Motion Works,Germany,202-MNO,Brake Cylinder,9B7NYZWB04GJHJJ41,WO-2025142,Yes,None,
