Event_ID,Line,Station,TS,Part_No,Part_Description,BOM_Valid,Torque_Nm,Temp_C,Pressure,Defect,VIN,Supplier,Supplier_Name,Supplier_Country,Work_Order,Work_Order_VIN_Valid,Tool_ID,Tool_Description,Tool_Valid,Inspection_Source,Scrap_Reason,Scrap_Reason_Description,Energy_kWh,Warranty_Claim,Plan_Production,Shift,Sensor_Anomaly,Cycle_Time_Seconds,Cycle_Time_Minutes,Cycle_Time_Valid,Cycle_Time_Anomaly,Rework,Cleaning_Issues
EVT-00025,GA-2,STN-02,2025-08-03 08:58:15,789-GHI,Steering Rack,True,63.95,94.9,41.9,Reject,B8457BFZX373WJVAC,SUP-05,Prime Casting Solutions,Japan,WO-2025115,True,T-102,Torque Gun,True,sensor,S4,Sensor Fault,3.6,Yes,109,A,False,315.0,5.25,True,False,False,
EVT-00026,GA-3,STN-05,2025-11-08 10:59:50,456-DEF,Rear Suspension Module,True,54.37,100.6,34.5,None,JCEJMN9LPJSXHTS34,SUP-11,Vector Drive Components,USA,WO-2025276,True,T-105,Press Tool,True,camera,,,5.39,No,117,A,False,294.0,4.9,True,False,False,
EVT-00027,GA-3,STN-01,2025-05-11 17:32:40,202-MNO,Brake Cylinder,True,55.18,88.28,53.6,None,5NUH8FHG8YX2VP0P6,SUP-02,Precision Motion Works,Germany,WO-2025250,True,T-101,Fixture Clamp,True,manual,S2,Torque Failure,3.12,No,113,B,False,,,True,False,False,
EVT-00028,GA-1,STN-09,2025-10-12 12:35:04,202-MNO,Brake Cylinder,True,39.78,85.72,46.8,None,Y9X2SYUS97KYH6SYC,SUP-09,Nova Sensor Systems,South Korea,WO-2025136,True,T-109,End-of-Line Scanner,True,camera,S4,Sensor Fault,2.13,No,121,A,False,304.0,5.07,True,False,False,
EVT-00029,GA-3,STN-09,2025-10-23 19:12:11,123-ABC,Front Axle Assembly,True,45.39,83.9,53.4,None,S9DPVEMFL7CAPXYRK,SUP-02,Precision Motion Works,Germany,WO-2025199,True,T-109,End-of-Line Scanner,True,sensor,,,2.65,No,119,B,False,241.0,4.02,True,False,False,
EVT-00030,GA-1,STN-07,2025-05-11 13:05:22,202-MNO,Brake Cylinder,True,43.45,84.72,46.7,None,YAPTRM6SFFUYX72S4,SUP-11,Vector Drive Components,USA,WO-2025002,True,T-107,Seal Applicator,True,sensor,,,3.15,No,122,A,False,2.0,0.03,False,True,False,invalid_cycle_time
EVT-00031,GA-3,STN-05,2025-03-21 12:56:07,101-JKL,Battery Cooling Harness,True,46.72,95.2,21.0,Repair,718VLZDTT6B18WZDX,SUP-02,Precision Motion Works,Germany,WO-2025074,True,T105,,False,camera,S3,Assembly Error,5.56,No,118,A,True,105.0,1.75,True,False,False,invalid_tool_id
EVT-00032,GA-3,STN-07,2025-06-10 11:10:00,789-GHI,Steering Rack,True,50.9,98.7,41.2,None,BY0GK7U5BFYPFX8YE,SUP-02,Precision Motion Works,Germany,WO-2025120,True,T-107,Seal Applicator,True,sensor,S2,Torque Failure,3.61,No,114,A,False,87.0,1.45,True,False,False,
EVT-00033,GA-2,STN-05,2025-11-01 10:22:30,101-JKL,Battery Cooling Harness,True,89.76,124.5,39.9,None,6HB3TUW4CHFUM574H,SUP-09,Nova Sensor Systems,South Korea,WO-2025242,True,T-105,Press Tool,True,sensor,S1,Material Defect,5.24,No,106,A,True,94.0,1.57,True,False,False,
EVT-00034,GA-3,STN-05,2025-03-12 20:39:56,789-GHI,Steering Rack,True,63.24,89.28,43.6,None,T0PSK64MFJ78JR4GU,SUP-01,Atlas Fasteners,India,WO-2025071,True,T-105,Press Tool,True,sensor,,,4.45,No,118,B,False,77.0,1.28,True,False,False,
EVT-00035,GA-2,STN-07,2025-07-20 10:08:27,456-DEF,Rear Suspension Module,True,39.68,89.89,32.7,None,A1RY99DBK4ERBP127,SUP-05,Prime Casting Solutions,Japan,WO-2025082,True,T-107,Seal Applicator,True,camera,,,3.46,No,108,A,False,147.0,2.45,True,False,False,
EVT-00036,GA-3,STN-02,2025-10-14 10:35:10,101-JKL,Battery Cooling Harness,True,44.37,98.22,50.2,None,F4F86C2FT5ZE45VD3,SUP-02,Precision Motion Works,Germany,WO-2025151,True,T-102,Torque Gun,True,sensor,S4,Sensor Fault,2.35,No,118,A,False,98.0,1.63,True,False,False,
EVT-00037,GA-3,STN-03,2025-09-24 10:29:58,303-PQR,Door Lock Module,True,76.91,94.9,51.3,None,S4FHVRSKRMN8YC619,SUP-01,Atlas Fasteners,India,WO-2025093,True,T-103,Vision Alignment Rig,True,camera,,,3.36,No,120,A,True,762.0,12.7,False,True,False,invalid_cycle_time
EVT-00038,GA-2,STN-03,2025-08-02 12:31:38,101-JKL,Battery Cooling Harness,True,47.94,84.0,34.0,None,LF55UTNJ62TSTZ2EZ,SUP-02,Precision Motion Works,Germany,WO-2025147,True,T-103,Vision Alignment Rig,True,manual,S1,Material Defect,3.5,No,108,A,False,278.0,4.63,True,False,False,
EVT-00039,GA-2,STN-05,2025-06-25 14:59:00,202-MNO,Brake Cylinder,True,51.61,128.0,53.2,None,0M4HY5ZCTHZSNTM32,SUP-05,Prime Casting Solutions,Japan,WO-2025040,True,T105,,False,camera,S3,Assembly Error,3.8,No,112,B,True,180.0,3.0,True,False,True,invalid_tool_id
EVT-00040,GA-3,STN-01,2025-01-17 08:16:18,202-MNO,Brake Cylinder,True,44.68,82.8,37.3,None,VL07XKKMZ6VG6GJ99,SUP-02,Precision Motion Works,Germany,WO-2025186,True,T-101,Fixture Clamp,True,manual,,,2.77,No,111,A,False,,,True,False,False,
EVT-00041,GA-1,STN-09,2025-07-05 14:25:52,202-MNO,Brake Cylinder,True,51.82,83.22,68.1,Reject,YRKXRG5K3Z77079WX,SUP-02,Precision Motion Works,Germany,WO-2025022,True,T109,,False,manual,S3,Assembly Error,2.75,No,122,B,True,292.0,4.87,True,False,False,invalid_tool_id
EVT-00042,GA-3,STN-03,2025-07-07 07:25:05,456-DEF,Rear Suspension Module,True,52.43,96.6,44.1,None,6TX1ZK83GUFCGZB7U,SUP-05,Prime Casting Solutions,Japan,WO-2025175,True,T-103,Vision Alignment Rig,True,manual,S2,Torque Failure,3.16,No,116,A,False,185.0,3.08,True,False,False,
EVT-00043,GA-3,STN-01,2025-03-16 05:46:18,123-ABC,Front Axle Assembly,True,46.82,101.4,51.9,Repair,NFRPHPABDD5TB8MGB,SUP-11,Vector Drive Components,USA,WO-2025190,True,T-101,Fixture Clamp,True,manual,S4,Sensor Fault,2.16,Yes,117,C,False,,,True,False,False,
EVT-00044,GA-2,STN-07,2025-01-20 19:53:42,123-ABC,Front Axle Assembly,True,61.51,93.72,52.7,None,GL197F0SLFS9A0GDS,SUP-09,Nova Sensor Systems,South Korea,WO-2025045,True,T-107,Seal Applicator,True,camera,S3,Assembly Error,2.67,No,115,B,False,87.0,1.45,True,False,False,
EVT-00045,GA-1,STN-07,2025-04-04 06:13:12,303-PQR,Door Lock Module,True,48.76,96.89,44.0,Repair,795W3KSA7Y0WZ84P6,SUP-01,Atlas Fasteners,India,WO-2025266,True,T-107,Seal Applicator,True,camera,S1,Material Defect,3.38,No,122,A,False,273.0,4.55,True,False,False,
EVT-00046,GA-2,STN-02,2025-05-24 10:49:29,303-PQR,Door Lock Module,True,43.55,101.28,49.2,None,9LXEYVFMTJBX9ZWMY,SUP-01,Atlas Fasteners,India,WO-2025299,True,T-102,Torque Gun,True,camera,S1,Material Defect,2.77,No,111,A,False,622.0,10.37,False,True,True,invalid_cycle_time
EVT-00047,GA-1,STN-07,2025-07-17 15:36:49,202-MNO,Brake Cylinder,True,52.53,91.6,42.4,None,MZXF5SDZLX4STXG4P,SUP-05,Prime Casting Solutions,Japan,WO-2025129,True,T-107,Seal Applicator,True,camera,S4,Sensor Fault,3.45,No,120,B,False,72.0,1.2,True,False,False,
EVT-00048,GA-2,STN-09,2025-02-22 14:16:46,303-PQR,Door Lock Module,True,55.69,91.2,52.5,None,PH9TDBDX3PCN9U95A,SUP-11,Vector Drive Components,USA,WO-2025000,True,T-109,End-of-Line Scanner,True,sensor,S1,Material Defect,1.98,No,108,B,False,369.0,6.15,True,False,False,
EVT-00049,GA-1,STN-05,2025-06-17 12:09:11,202-MNO,Brake Cylinder,True,58.04,100.0,44.1,None,ARGH43P4G1HDDPBB5,SUP-05,Prime Casting Solutions,Japan,WO-2025234,True,T-105,Press Tool,True,camera,S1,Material Defect,4.54,No,123,A,False,285.0,4.75,True,False,True,
EVT-00050,GA-2,STN-01,2025-01-16 18:43:30,456-DEF,Rear Suspension Module,True,50.69,88.5,43.3,None,L16AJT6EU4CB03DLE,SUP-01,Atlas Fasteners,India,WO-2025263,True,T-101,Fixture Clamp,True,manual,,,2.17,No,110,B,False,,,True,False,False,
EVT-00051,GA-2,STN-02,2025-05-09 18:08:00,789-GHI,Steering Rack,True,47.94,97.0,32.1,None,8L5KBUT6GTC3GLD3U,SUP-05,Prime Casting Solutions,Japan,WO-2025279,True,T-102,Torque Gun,True,manual,S2,Torque Failure,2.98,No,106,B,False,,,True,False,False,
EVT-00052,GA-1,STN-02,2025-07-18 06:10:45,202-MNO,Brake Cylinder,True,59.87,119.0,49.7,Repair,6XFUM17ZMBNBPT8AA,SUP-05,Prime Casting Solutions,Japan,WO-2025073,True,T102,,False,camera,,,3.73,No,117,A,True,405.0,6.75,True,False,False,invalid_tool_id
EVT-00053,GA-1,STN-05,2025-05-18 18:21:41,123-ABC,Front Axle Assembly,True,52.12,80.7,40.1,None,C2ZHY79RBSUF7C3SS,SUP-09,Nova Sensor Systems,South Korea,WO-2025080,True,T-105,Press Tool,True,manual,S4,Sensor Fault,3.83,No,121,B,False,150.0,2.5,True,False,False,
EVT-00055,GA-2,STN-09,2025-10-24 17:00:31,123-ABC,Front Axle Assembly,True,52.53,85.0,32.8,None,LVSAAJ84SY6PTZJDK,SUP-11,Vector Drive Components,USA,WO-2025025,True,T-109,End-of-Line Scanner,True,manual,S1,Material Defect,2.24,No,109,B,False,461.0,7.68,True,False,False,
EVT-00056,GA-3,STN-02,2025-03-21 12:39:57,101-JKL,Battery Cooling Harness,True,49.16,90.0,33.4,None,718VLZDTT6B18WZDX,SUP-02,Precision Motion Works,Germany,WO-2025074,True,T-102,Torque Gun,True,camera,S1,Material Defect,3.69,No,112,A,False,,,True,False,False,
EVT-00057,GA-2,STN-09,2025-10-21 10:24:00,202-MNO,Brake Cylinder,True,57.02,84.22,43.6,None,8EEFDZ51WCAJG101D,SUP-01,Atlas Fasteners,India,WO-2025255,True,T-109,End-of-Line Scanner,True,camera,,,2.18,No,112,A,False,60.0,1.0,True,False,False,
EVT-00058,GA-2,STN-07,2025-08-14 17:34:42,101-JKL,Battery Cooling Harness,True,50.29,84.1,43.6,Repair,TB7Y6UXU89CUGK8RD,SUP-02,Precision Motion Works,Germany,WO-2025132,True,T-107,Seal Applicator,True,manual,S2,Torque Failure,2.92,No,111,B,False,378.0,6.3,True,False,False,
EVT-00059,GA-3,STN-01,2025-11-04 20:26:00,303-PQR,Door Lock Module,True,57.12,94.7,50.1,None,6TUNX8EY6XASRW3YN,SUP-11,Vector Drive Components,USA,WO-2025125,True,T-101,Fixture Clamp,True,manual,,,2.14,No,115,B,False,17883604.0,298060.07,False,True,True,invalid_cycle_time
EVT-00060,GA-3,STN-09,2025-10-12 16:15:16,123-ABC,Front Axle Assembly,True,49.37,92.28,41.3,None,13L4J0XZJY7BTSBAJ,SUP-01,Atlas Fasteners,India,WO-2025090,True,T-109,End-of-Line Scanner,True,manual,,,2.94,No,120,B,False,160.0,2.67,True,False,False,
EVT-00061,GA-1,STN-05,2025-08-25 16:39:00,456-DEF,Rear Suspension Module,True,64.77,92.39,33.0,None,T0VXSEER5NZ1LH8AT,SUP-01,Atlas Fasteners,India,WO-2025205,True,T-105,Press Tool,True,sensor,,,4.39,No,123,B,False,,,True,False,True,
EVT-00062,GA-1,STN-01,2025-05-08 10:40:31,789-GHI,Steering Rack,True,59.16,89.5,38.0,None,YN9VYEJNJD5ULPC8D,SUP-02,Precision Motion Works,Germany,WO-2025061,True,T-101,Fixture Clamp,True,sensor,S3,Assembly Error,3.15,No,125,A,False,67.0,1.12,True,False,False,
EVT-00063,GA-3,STN-05,2025-06-24 08:03:35,202-MNO,Brake Cylinder,True,46.72,98.4,18.1,None,EZP4GZB2GVWJ3ZAXH,SUP-05,Prime Casting Solutions,Japan,WO-2025290,True,T-105,Press Tool,True,sensor,S2,Torque Failure,5.47,No,118,A,True,286.0,4.77,True,False,True,
EVT-00064,GA-1,STN-03,2025-04-12 16:28:25,789-GHI,Steering Rack,True,48.35,97.0,36.5,None,3F08C3870E1A79NMZ,SUP-01,Atlas Fasteners,India,WO-2025150,True,T-103,Vision Alignment Rig,True,camera,S3,Assembly Error,3.18,No,119,B,False,664.0,11.07,False,True,False,invalid_cycle_time
EVT-00065,GA-3,STN-02,2025-11-11 06:57:54,202-MNO,Brake Cylinder,True,53.96,87.8,47.6,None,K94THXG1YFJM4RZP4,SUP-11,Vector Drive Components,USA,WO-2025148,True,T-102,Torque Gun,True,camera,S4,Sensor Fault,3.11,No,110,A,False,303.0,5.05,True,False,False,
EVT-00066,GA-3,STN-01,2025-08-07 15:36:00,456-DEF,Rear Suspension Module,True,50.9,85.2,49.7,Reject,GVG81JX0GPWS2WNR6,SUP-02,Precision Motion Works,Germany,WO-2025235,True,T-101,Fixture Clamp,True,sensor,S4,Sensor Fault,2.4,No,119,B,False,2591819.0,43196.98,False,True,True,invalid_cycle_time
EVT-00067,GA-3,STN-02,2025-09-15 07:22:02,101-JKL,Battery Cooling Harness,True,42.23,95.4,36.3,None,2ZFT0F73344NLY4FS,SUP-05,Prime Casting Solutions,Japan,WO-2025116,True,T-102,Torque Gun,True,manual,S3,Assembly Error,3.38,No,116,A,False,318.0,5.3,True,False,False,
EVT-00068,GA-1,STN-03,2025-10-09 18:36:04,789-GHI,Steering Rack,True,45.8,98.6,39.1,Repair,UF1RU6VTPVXEHAJHJ,SUP-05,Prime Casting Solutions,Japan,WO-2025123,True,T-103,Vision Alignment Rig,True,camera,S3,Assembly Error,4.21,No,118,B,False,2504464.0,41741.07,False,True,False,invalid_cycle_time
EVT-00069,GA-3,STN-09,2025-03-21 13:05:00,101-JKL,Battery Cooling Harness,True,39.68,94.39,32.6,None,718VLZDTT6B18WZDX,SUP-02,Precision Motion Works,Germany,WO-2025074,True,T-109,End-of-Line Scanner,True,manual,,,2.25,No,119,A,False,278.0,4.63,True,False,False,
EVT-00070,GA-3,STN-03,2025-06-02 05:44:09,789-GHI,Steering Rack,True,49.67,93.2,53.8,None,TE0TDZYZVS5TNT9XM,SUP-02,Precision Motion Works,Germany,WO-2025026,True,T-103,Vision Alignment Rig,True,manual,S4,Sensor Fault,4.29,No,110,C,False,371.0,6.18,True,False,False,
EVT-00071,GA-2,STN-05,2025-08-24 08:21:00,123-ABC,Front Axle Assembly,True,61.4,84.5,44.7,None,Y8S4MV61CU9SB63K7,SUP-05,Prime Casting Solutions,Japan,WO-2025124,True,T-105,Press Tool,True,sensor,S1,Material Defect,5.8,No,105,A,False,446.0,7.43,True,False,False,
EVT-00072,GA-3,STN-07,2025-12-03 20:55:07,789-GHI,Steering Rack,True,48.35,99.5,35.0,None,T0PSK64MFJ78JR4GU,SUP-01,Atlas Fasteners,India,WO-2025071,True,T-107,Seal Applicator,True,manual,S1,Material Defect,3.13,No,112,B,False,918.0,15.3,False,True,False,invalid_cycle_time
EVT-00073,GA-1,STN-02,2025-02-25 10:27:48,101-JKL,Battery Cooling Harness,True,49.27,86.2,39.1,None,ZDNGRP56BZJP7C6RW,SUP-05,Prime Casting Solutions,Japan,WO-2025226,True,T-102,Torque Gun,True,camera,,,2.33,No,122,A,False,87.0,1.45,True,False,False,
EVT-00074,GA-2,STN-01,2025-09-18 06:33:06,123-ABC,Front Axle Assembly,True,59.87,93.8,39.9,None,5FBT5XWU4F3E3GZCP,SUP-11,Vector Drive Components,USA,WO-2025056,True,T-101,Fixture Clamp,True,sensor,,,2.38,No,109,A,False,,,True,False,False,
EVT-00075,GA-1,STN-01,2025-11-07 17:34:36,789-GHI,Steering Rack,True,39.47,92.5,36.9,None,8D3PDKXDGTDPUP6PS,SUP-05,Prime Casting Solutions,Japan,WO-2025104,True,T-101,Fixture Clamp,True,sensor,S1,Material Defect,3.4,No,115,B,False,10280272.0,171337.87,False,True,False,invalid_cycle_time
EVT-00076,GA-2,STN-01,2025-02-02 16:35:14,101-JKL,Battery Cooling Harness,True,58.55,92.72,44.1,None,VRWK8T6DDKDENU3DT,SUP-02,Precision Motion Works,Germany,WO-2025262,True,T-101,Fixture Clamp,True,sensor,S1,Material Defect,2.51,No,108,B,False,,,True,False,False,
EVT-00077,GA-3,STN-09,2025-07-07 07:38:54,456-DEF,Rear Suspension Module,True,58.85,88.5,45.7,Reject,6TX1ZK83GUFCGZB7U,SUP-05,Prime Casting Solutions,Japan,WO-2025175,True,T109,,False,sensor,S2,Torque Failure,2.91,Yes,115,A,False,299.0,4.98,True,False,False,invalid_tool_id
EVT-00078,GA-1,STN-05,2025-06-02 12:28:26,123-ABC,Front Axle Assembly,True,38.96,88.1,51.9,None,M2THBCC2ZG1PCNS9A,SUP-02,Precision Motion Works,Germany,WO-2025287,True,T-105,Press Tool,True,sensor,,,3.9,No,119,A,False,48.0,0.8,True,False,True,
EVT-00079,GA-2,STN-09,2025-01-16 19:15:06,456-DEF,Rear Suspension Module,True,61.71,80.9,49.6,None,L16AJT6EU4CB03DLE,SUP-01,Atlas Fasteners,India,WO-2025263,True,T-109,End-of-Line Scanner,True,manual,S2,Torque Failure,3.08,No,111,B,False,298.0,4.97,True,False,False,
EVT-00080,GA-1,STN-03,2025-07-06 11:04:17,456-DEF,Rear Suspension Module,True,63.95,80.61,51.4,None,RAJD61WS2S6ZHABF1,SUP-09,Nova Sensor Systems,South Korea,WO-2025278,True,T-103,Vision Alignment Rig,True,camera,S2,Torque Failure,3.82,No,124,A,False,291.0,4.85,True,False,False,
EVT-00081,GA-1,STN-07,2025-11-17 07:51:16,303-PQR,Door Lock Module,True,56.2,83.7,46.7,None,PUVY6J2ZFTLSZP891,SUP-01,Atlas Fasteners,India,WO-2025193,True,T-107,Seal Applicator,True,camera,,,2.89,No,122,A,False,350.0,5.83,True,False,True,
EVT-00082,GA-1,STN-01,2025-05-16 07:27:38,202-MNO,Brake Cylinder,True,52.94,100.78,44.2,None,BLPG0NR4H6S8TP5XH,SUP-09,Nova Sensor Systems,South Korea,WO-2025057,True,T-101,Fixture Clamp,True,manual,,,3.03,No,124,A,False,,,True,False,False,
EVT-00083,GA-3,STN-03,2025-06-08 13:27:40,789-GHI,Steering Rack,True,38.86,119.0,42.2,None,T2DYKNYW6Z6J0UTGY,SUP-05,Prime Casting Solutions,Japan,WO-2025102,True,T-103,Vision Alignment Rig,True,manual,,,3.42,No,120,A,True,220.0,3.67,True,False,False,
EVT-00084,GA-2,STN-05,2025-02-07 13:39:00,303-PQR,Door Lock Module,True,51.2,82.5,38.9,None,BUJRKB4PRDBRFMM6G,SUP-05,Prime Casting Solutions,Japan,WO-2025174,True,T105,,False,manual,S1,Material Defect,4.79,No,110,A,False,,,True,False,True,invalid_tool_id
EVT-00085,GA-2,STN-05,2025-09-18 09:17:00,789-GHI,Steering Rack,True,39.68,85.89,52.6,None,E2ZBM0RTCURN8Z954,SUP-05,Prime Casting Solutions,Japan,WO-2025089,True,T-105,Press Tool,True,camera,,,3.79,No,111,A,False,181.0,3.02,True,False,False,
